Item Number,Part Number,Description,Quantity
1, ,Carrier PCB, 4
2, ,Mounting Arm PCB, 4
3, ,Probe Clamp, 16
4, ,Probe Needle, 16
5, ,Compression Spring 0.3/4/10mm A2, 16
6, ,M3 Washer A2, 16
7, ,M3x16 Thumb Screw A2, 32
8, ,Corner Connectors, 4
9, ,PCB Holder, 4
10, ,M3x8 Thumb Screw A2,8
11, ,M3 Nut A2 DIN 6923, 20
12, ,M3x8 Hex Socket Button Screw, 16
13, ,IDC Socket 2x04 2.54mm SMD, 4
14, ,Pin Header 2x04 2.54mm SMD, 4
15, ,Pin Header 1x02 2.54mm vertical SMD, 4
16, ,Pin Header 1x02 2.54mm horizontal SMD, 8
17, ,Jumper 2pol 2.54mm, 20
18, ,Magnet 2x6mm, 4
18, ,Cable DuPont 2x04 30cm, 4
